,D1_saline_weight,D2_saline_weight,D3_saline_weight,D4_saline_weight,D5_saline_weight,D1_Compound_weight,D2_Compound_weight,D3_Compound_weight,D4_Compound_weight,D5_Compound_weight,
1,0.904977376,0.936651584,0.977375566,1.022624434,1.018099548,0.92920354,,,,,
2,0.976851852,,,,,0.902222222,0.844444444,0.822222222,0.804444444,0.826666667,0.84
3,0.948113208,,,,,0.902325581,0.860465116,0.860465116,0.879069767,0.906976744,0.91627907
4,0.900900901,0.855855856,0.81981982,0.788288288,0.792792793,0.934210526,,,,,
5,0.917808219,0.872146119,0.817351598,0.776255708,0.780821918,0.901785714,0.821428571,0.816964286,0.816964286,0.857142857,0.883928571
6,0.909482759,0.836206897,0.775862069,0.780172414,0.793103448,0.966981132,,,,,
7,0.936936937,,,,,0.92760181,0.868778281,,,,
8,,,,,,0.883928571,0.870535714,0.861607143,0.883928571,0.90625,0.915178571
